lon,lat,Tem
-40.13,-2.88,27
-37.9,-9.3,24.3
-41.1,-19.5,26.1
-38.3,-12.2,26.5
-51.2,-3.2,26
-43,-23,24.7
-45.9,-9.1,25
-37.8,-5.6,28.6
-37.1,-11,27.1
-42.1,-16.8,25
-52.2,-15.9,24.7
-48.2,-7.2,24.3
-46.9,-19.6,20.7
-37.1,-8.4,24.6
-35.68,-6.97,24.4
-46.1,-15.9,24.6
-62.95,-9.93,25.5
-46.55,-23.12,21.5
-48.9,-23.1,22.2
-44.8,-4.2,27
-54.1,-31.3,25.1
-46,-7.5,25.5
-46,-20,21.9
-39.3,-7.3,26.2
-62.9,-1,25.9
-43.2,-11.1,26.5
-45.2,-5.5,26.4
-45,-12.2,24.3
-48.4,-1.4,25.7
-43.9,-19.9,21.3
-55,-2.6,24.9
-70,-4.4,24.7
-60.7,2.8,27.5
-50.4,-28.7,19.2
-43.4,-13.3,25.7
-44.1,-9.1,26.6
-47.9,-15.8,20.8
-50.5,-1.7,25.6
-39.3,-8.5,28.5
-57.7,-16.1,26.6
-61.43,-11.43,25.7
-42.5,-14.1,22
-37.08,-6.47,28
-41.8,-4.28,27.8
-49.5,-2.3,26.3
-35.9,-7.2,23.8
-47.06,-22.91,23.9
-54.7,-20.4,23.6
-52.4,-24.1,23.5
-41.3,-21.8,25.7
-45.6,-22.8,17.2
-51.2,-27.4,21.3
-40.4,-7,25.6
-52.5,-13.5,23.9
-39,-15.7,25.6
-41.9,-20.5,21
-49.6,-18.7,23
-61.1,1.8,26.7
-43.33,-9.28,24.2
-39.3,-17.7,26
-43.8,-14.3,25.8
-47.5,-7.3,25.6
-50,-24.8,20.8
-48,-18.2,21.5
-48.9,-21.1,24.8
-43.4,-4.9,27.2
-51.2,-29.2,21.4
-35.7,-5.7,26.5
-43.4,-3.7,26.8
-52.6,-27.1,24.1
-38.5,-11.1,25.5
-63.1,-4.1,26.3
-62.1,-3.8,26.2
-44.2,-6,26.1
-49.3,-8.3,24.5
-43.4,-19,22
-42.4,-22,23.4
-44.62,-13.33,23.4
-57.7,-19,28
-40.7,-5.2,28
-53.6,-28.6,24.8
-39.1,-12.7,25.5
-72.7,-7.6,25
-36.6,-6.4,28.2
-56.1,-15.6,26.4
-49.3,-25.4,20.3
-43.6,-18.3,19.4
-56.5,-14.4,25
-43.7,-22.8,25.8
-40.8,-18.4,25.7
-69.9,-6.7,25.1
-52.5,-30.5,22.6
-42.25,-3.9,27.3
-42.9,-14.9,25.1
-38.97,-12.18,26.8
-36.8,-6.1,27.2
-43,-6.8,26.5
-48.6,-27.6,24.7
-66.2,-2.5,25.6
-47.3,-15.5,21.4
-46.2,-14.9,23
-38.6,-3.8,27.2
-54.48,-25.6,25.8
-47.4,-20.6,20.8
-48.9,-20,24.4
-36.5,-8.9,22.4
-56.5,-12.2,24.3
-49.3,-16.7,22.5
-50.1,-15.1,23.7
-41.9,-18.9,25.2
-39,-4.3,21.7
-39.6,-16.7,24.7
-69.2,0.6,25.3
-42.18,-22.83,25.5
-47.6,-24.7,25.2
-39.3,-6.4,28.5
-47.5,-5.5,26.2
-49.3,-26.9,24.1
-48.2,-17.7,22.1
-53.2,-27.2,25.3
